Rank	Team	Score
87	Steve 3	0.99300
88	AdrianoMoala	0.99300
89	Luca 2	0.99300
90	Denis Vlasov	0.99300
91	Araldo van de Kraats	0.99300
92	MikeThibodeaux	0.99286
93	Mike Dusenberry	0.99286
94	jeffd23	0.99286
95	Alok Bhatt	0.99271
96	prakash R	0.99271
97	zeng liang	0.99271
98	IceBear	0.99271
99	Bruno16	0.99271
100	Nikita Molostvov	0.99257
101	AndrewGreatorex	0.99257
102	sagar verma	0.99243
103	Noah Cavendish	0.99243
104	ingvar888	0.99243
105	misgod	0.99243
106	Laxmi Prajapat	0.99243
107	forDream	0.99229
108	Michele Vitali	0.99229
109	devmeow	0.99229
110	rcgn	0.99214
111	Annihilator	0.99214
112	iComing	0.99214
113	Fabien Tencé	0.99214
114	Ehsan Saghapour	0.99214
115	Ozanize	0.99214
116	srinivas mudhiraj	0.99214
117	MarcoCarnini	0.99214
118	TanyaSattaya-aphitan	0.99214
119	Maciej Nasinski	0.99200
120	yk28	0.99200
121	Tanqiu Liu	0.99186
122	Melsonius	0.99186
123	LeoHsiunX	0.99186
124	Allen Qin	0.99186
125	ДмитрийКиперов	0.99186
126	Hugo Martiniano	0.99186
127	chaoyij	0.99186
128	Neutron	0.99171
129	DudleyDrummond-Hay	0.99157
130	PerfectMachine	0.99157
131	Alexey 3	0.99143
132	Philippe L'Heureux	0.99143
133	akshaywalvekar	0.99143
134	carol003lee	0.99129
135	PerryCheng	0.99129
136	longchaoyang	0.99129
137	marcovaldo	0.99129
138	MathiasFelixGruber	0.99129
139	wangyinan	0.99129
140	RaphaelCampos	0.99129
141	Omar Alexander Ruiz	0.99129
142	eberg	0.99129
143	Ttkuma	0.99129
144	Xue Han	0.99114
145	Kousei Wada	0.99114
146	PaulBain	0.99114
147	rongmm	0.99114
148	ishan12345	0.99114
149	IshanSodhi	0.99114
150	SunnyCal	0.99100
151	pengchengluo	0.99100
152	SayaliShirode	0.99100
153	star	0.99100
154	Nikita Verkhovin	0.99100
155	Lorne0	0.99086
156	citouxyj	0.99086
157	matt1307079	0.99086
158	minng	0.99086
159	Han-Zhou Wu	0.99086
160	Travis White	0.99086
161	Jordan Webster	0.99086
162	clinkz 2	0.99071
163	DzmitryKishylau	0.99071
164	Piotr Giedziun	0.99071
165	SarthakYadav	0.99057
166	Jonc	0.99057
167	JackDS	0.99057
168	DongwonShin	0.99057
169	求是代写	0.99043
170	Denchik	0.99029
171	Gautam Singaraju	0.99029
172	jared colbert	0.99029
173	nickgu	0.99029
174	IvanSosnovik	0.99029
175	ZQ Mu	0.99014
176	YuRayLi	0.99014
177	AyushSharma	0.99014
178	Damodar	0.99014
179	Jingwei li	0.99000
180	jay_from_pku	0.99000
181	ShobhitBhatnagar	0.99000
182	Fábio Nukui	0.99000
183	Nitthilan Kannappan Jayakodi	0.99000
184	이상희	0.99000
185	SoumithRaj	0.99000
186	david chang	0.99000
187	eginardo	0.99000
188	Aleksandr Savochkin	0.99000
189	luyawen	0.98986
190	Vishwanath Sangale	0.98971
191	haoshuling	0.98957
192	ChenjaminBen	0.98957
193	Moloiu Alexandra-Stefania	0.98957
194	Rafael Reis	0.98957
195	GustavoMA	0.98957
196	Bobfan	0.98957
197	aaaa 2	0.98957
198	ADmitri	0.98943
199	ZhengChen	0.98929
200	ZHU Henghui	0.98929
201	Paul Mongkud	0.98929
202	TaegyunJeon	0.98929
203	cashew	0.98929
204	mapShuffleReduce	0.98914
205	Ievgen	0.98900
206	AIM94	0.98900
207	Nestor D.	0.98900
208	ziru	0.98900
209	slackoverflow	0.98886
210	xws117	0.98886
211	AlbertBogdanowicz	0.98886
212	ML1011	0.98857
213	Taku.S	0.98857
214	Alex Mitrevski	0.98857
215	BagOfWords	0.98843
216	GuillaumeLeroy	0.98829
217	LeonardoBombonato	0.98829
218	ashukumar27	0.98829
219	DisplayName	0.98829
220	MichaelLanier	0.98814
221	JuanMaEL	0.98814
222	VN_Lonely	0.98814
223	trojan00	0.98800
224	YuzhouSong	0.98786
225	Christina	0.98771
226	ruzx	0.98771
227	Welly Zhang	0.98757
228	Charvi Agarwal	0.98757
229	caiomsouza	0.98757
230	Insaf Ashrapov	0.98757
231	MarZiYa	0.98757
232	Ajou University	0.98757
233	brandon	0.98757
234	Siarhei Vasilyeu	0.98757
235	ArindamDutta	0.98757
236	David@THM	0.98757
237	AlanDiego	0.98729
238	sourish	0.98729
239	mattiadg	0.98714
240	m1nesweep3r	0.98714
241	Leon Chow	0.98714
242	Zhee	0.98700
243	drcdh	0.98700
244	onhanik	0.98700
245	EunminLee	0.98686
246	Dong-heeNa	0.98686
247	XIMO	0.98686
248	SDCS_cxy 2	0.98671
249	Oleg Dobkin	0.98671
250	Guillaume COTER	0.98671
251	Míriam Nieto	0.98657
252	Skystriker1284	0.98643
253	milton	0.98643
254	Jorge Del Val Santos	0.98643
255	Adit Deshpande	0.98629
256	H.K Jeong	0.98614
257	Kon	0.98614
258	Illidan7	0.98614
259	STACers	0.98614
260	xmfbit	0.98600
261	Matteo	0.98571
262	SANGGIHONG	0.98571
263	Winson Waisakurnia	0.98571
264	Nils 2	0.98571
265	ShinichiroYasui	0.98557
266	mbertolino	0.98543
267	Amaury	0.98529
268	AzamatbekAkhmedov	0.98529
269	Shravan Shetty	0.98514
270	Jirapol Songvuti	0.98514
271	David G	0.98500
272	buckthoothsir	0.98500
273	icecream4	0.98486
274	Jan Lehnhäuser	0.98486
275	kobex	0.98486
276	tyd2lx	0.98486
277	Ander	0.98471
278	Gerben	0.98471
279	inferoscope	0.98471
280	mianzhanggan	0.98457
281	Carlos H. Villa Pinto	0.98457
282	pomoke	0.98457
283	raulbryant	0.98457
284	Nikita J. Kittenplan	0.98429
285	CrazyVegetable	0.98429
286	charvi agarwal 2	0.98414
287	oppsitre	0.98414
288	Steffen neuralgamebot.com	0.98414
289	Ben KTByte	0.98414
290	B. Pu	0.98414
291	Beltegeuse	0.98414
292	Aamir Goriawala, Kalyanee Chendke, Rohit Date	0.98414
293	ТимофейЛепешонков	0.98400
294	Anshulvyas	0.98400
295	pqhuy98	0.98386
296	mirra	0.98371
297	SJLee	0.98371
298	KolegaSuper	0.98371
299	Ploy Temiyasathit	0.98371
300	KitipongSirirueangsakul	0.98371
301	AlexeyKozhevin	0.98314
302	ChadBoschert	0.98300
303	AshishSekhri	0.98300
304	ganfoubudalian	0.98300
305	DFridman	0.98300
306	rayment	0.98286
307	zshiki	0.98271
308	Ashutosh Sanan	0.98257
309	Wely Sabalilag	0.98257
310	Melv Ng	0.98257
311	QuanaoGao	0.98243
312	GomathyShankar	0.98243
313	Kalyani Zope	0.98243
314	nothing	0.98243
315	YuhaiWang	0.98243
316	Clinton Olson	0.98243
317	mmatteo	0.98243
318	Jimmy Xiang	0.98243
319	ChaoJi	0.98243
320	zxhy	0.98243
321	danaugrs	0.98243
322	MingFeiLiang	0.98243
323	T. Niyomkarn	0.98243
324	Yuichi	0.98229
325	Gavin 2	0.98229
326	Mayank Kumar 2	0.98229
327	GuodongShen	0.98229
328	Peter 6	0.98229
329	RahulChawla	0.98229
330	phils 2	0.98229
331	Chengwei Huang	0.98229
332	Lovekesh Garg	0.98229
333	kaihua	0.98229
334	haoxigua	0.98229
335	enjoYB	0.98229
336	on the way	0.98229
337	TedRand	0.98214
338	zhuangxu	0.98214
339	churandy	0.98214
340	Yingge WAN	0.98200
341	Jimmy	0.98200
342	SidN	0.98200
343	PeSsenger	0.98200
344	tttamaki	0.98186
345	alessio	0.98186
346	NguyễnDuy	0.98171
347	Nico 3	0.98143
348	Veena K	0.98129
349	Gary Hess	0.98129
350	Justin Luther	0.98086
351	Etherqua	0.98071
352	YauPH	0.98071
353	CarolineWang	0.98071
354	chu_cs_nmsu	0.98071
355	YuantsenWang	0.98057
356	ИльяШапилов	0.98057
357	YuxiangZhang 3	0.98043
358	jaadler	0.98043
359	Ben Mescher	0.98029
360	Oleksandr Buzynniy	0.98014
361	MarkLewis_mipt_dmia	0.98000
362	Carol_Lee	0.97986
363	atitan	0.97957
364	Nikita Vasilev	0.97957
365	Tu Thai	0.97957
366	Phillip Kravtsov	0.97929
367	Alexander Anokhin	0.97914
368	vfcosta	0.97900
369	Plastic_Monkey	0.97900
370	SC	0.97886
371	weiyus	0.97886
372	WaiMunLek	0.97886
373	Chathurika	0.97886
374	Aleksandr Gorovoi	0.97886
375	JeroenS	0.97871
376	miguelmalvarez	0.97871
377	YuanDong	0.97871
378	YanchaoXu	0.97871
379	gozky	0.97857
380	KuribohG	0.97843
381	Yeonsu	0.97829
382	FrancescoCucari	0.97829
383	Gim_7	0.97829
384	VitaliiGolovachov	0.97814
385	MKesselaers .	0.97814
386	LATTE	0.97814
387	PonPerter	0.97800
388	awe	0.97800
389	Aurelien_B	0.97800
390	yifan_xu	0.97800
391	Lucas V. Oliveira	0.97800
392	EktaGujral	0.97800
393	lilili	0.97800
394	purple	0.97800
395	Tsvetkov Igor	0.97786
396	Dagoth	0.97786
397	LukeRoberto	0.97771
398	blue_choc	0.97743
399	RohanRaj	0.97729
400	Seung-HwanLim	0.97714
401	Jiddu Alexander	0.97714
402	AoLi	0.97700
403	Netero	0.97700
404	RobertAnderson	0.97686
405	Kloser Cheung	0.97686
406	JeroenNL	0.97686
407	carol001lee	0.97671
408	carol009lee	0.97657
409	MyKaggle	0.97657
410	Mario	0.97629
411	n_ken	0.97629
412	Eugene 3	0.97614
413	Loup-SinhRouan	0.97600
414	Shahrukhkhan	0.97600
415	JesseL	0.97600
416	VadimSychev	0.97586
417	Vape Naysh	0.97586
418	ISaber	0.97586
419	FengyaoZHOU	0.97557
420	ben xu	0.97557
421	mikr	0.97543
422	ReiiNakano	0.97543
423	Tachibana Kanade	0.97543
424	AmberMcKenzie	0.97543
425	HaDonghee	0.97514
426	Stone 2	0.97500
427	forin.xyz	0.97486
428	NaokiMATSUZAKI	0.97486
429	IgorRinkovec	0.97486
430	Pavel Perestoronin	0.97486
431	Naveen 2	0.97486
432	josdorpjossie	0.97486
433	sunny0o0	0.97486
434	FlaviuToader	0.97443
435	Kirill Panarin	0.97429
436	DennisSchönhof	0.97414
437	carol007lee	0.97400
438	byrony	0.97400
439	zheng	0.97386
440	Nico Kist	0.97371
441	tsinghao	0.97357
442	ChetanGupta	0.97357
443	Neil 3	0.97343
444	lilith qi	0.97329
445	Niko	0.97329
446	Bitrusher	0.97329
447	Tony & Yiwei	0.97329
448	Beginner	0.97314
449	smithfleet	0.97300
450	fairy	0.97286
451	seriont	0.97286
452	SalvadorDali	0.97286
453	wangqihui	0.97286
454	Marina	0.97271
455	gr8R	0.97257
456	Reneboy P. Aguinaldo	0.97229
457	Christiaan Swanepoel	0.97229
458	Joshua Rose	0.97229
459	mihobu	0.97214
460	RohitJain	0.97214
461	Manoj Joshi	0.97214
462	r3dmao	0.97214
463	vardhinikundale	0.97214
464	Eoin	0.97214
465	Navin Chandan	0.97214
466	PerrineMartin	0.97214
467	Tracholar Zuo	0.97214
468	Lucas 2	0.97214
469	Mike Staddon	0.97200
470	Michał Stolarczyk	0.97200
471	lininglouis	0.97200
472	Ravi Teja Gutta	0.97200
473	Sandra	0.97200
474	MinghaoWu	0.97200
475	Ekaterina	0.97200
476	Jian Liu	0.97200
477	antareada	0.97186
478	haki	0.97186
479	gzgzgz	0.97186
480	Alexander Vovchenko	0.97171
481	ViníciusGuimarãesGoecks	0.97171
482	Nick Denaro	0.97157
483	VasudevSingh	0.97157
484	GauthamKumaran	0.97143
485	sxie	0.97143
486	caiyi	0.97129
487	AlexanderNikolaev	0.97129
488	Tom Dörr	0.97129
489	SnShines	0.97114
490	VictorShen	0.97114
491	rivasj	0.97114
492	Prasad Godbole.	0.97114
493	yangkang	0.97114
494	Daia Alexandru	0.97114
495	TanguyBretagne	0.97114
496	BoGao	0.97114
497	PnnBrc	0.97100
498	DánielNagy	0.97086
499	JohnCheng	0.97086
500	Juggy	0.97057
501	Junzi	0.97043
502	Nirmal Thumbar	0.97043
503	Suresh Konapalli	0.97043
504	kengow	0.97043
505	mindful	0.97029
506	XingJun	0.97029
507	CelsoF.AraujoF.	0.97029
508	FlorentPezet	0.97014
509	Ravindra Kumar Yadav	0.97014
510	rahenri	0.97014
511	fishface	0.97000
512	程小真	0.96971
513	JonathanLou	0.96971
514	Orlando	0.96971
515	suosssss	0.96957
516	akm	0.96943
517	carol04lee	0.96943
518	straw_man	0.96943
519	Nick Malotin	0.96943
520	hira	0.96943
521	Dreamcatcher	0.96929
522	pickou	0.96929
523	sid.xiong	0.96929
524	DaniloVunjak	0.96914
525	UjjwalPeshin	0.96914
526	ChuizhengMeng	0.96900
527	Aris Fergadis	0.96900
528	Thomas Doyle	0.96900
529	Haoyue Zhan	0.96886
530	xingxinghanzi	0.96886
531	carol008lee	0.96871
532	julien_goo	0.96857
533	Sergiy	0.96857
534	wj251013	0.96857
535	dzkang2011	0.96857
536	zhenbin	0.96857
537	Daniel Vacca	0.96857
538	Ambimanus	0.96857
539	o_juli_o	0.96857
540	Rhostam	0.96857
541	Krybaby_7_9	0.96857
542	jack_Gan	0.96857
543	Yong Sheng Heng	0.96843
544	GowTham	0.96829
545	Vishwadeep Gautam	0.96829
546	AibekKuralbayev	0.96814
547	loveqingbao	0.96814
548	Edans Sandes	0.96814
549	andheroe	0.96814
550	n00b123	0.96800
551	RavI Ponmalai	0.96800
552	atamby1	0.96800
553	Chris Swierczewski	0.96800
554	ZuLu	0.96800
555	FengWei	0.96800
556	miditower	0.96800
557	GiovanniAttinadonascimento	0.96800
558	aaronhcj	0.96800
559	SagarGhai	0.96800
560	Ying Wang	0.96800
561	João Duro	0.96800
562	LaLaLaDemarcia	0.96800
563	Daoxun	0.96800
564	chuanqi129	0.96800
565	Pierre Aumjaud	0.96800
566	zhangjunphy	0.96800
567	Yuna.qiu	0.96800
568	sel3aa	0.96800
569	JohnCache	0.96800
570	Elsa	0.96800
571	ZdJiang	0.96800
572	Francesco 3	0.96800
573	NikT	0.96786
574	AbhijeetChauhan	0.96786
575	FabAnalytics	0.96786
576	Isaac 2	0.96786
577	Codingfun	0.96771
578	y110057	0.96771
579	Madhav	0.96771
580	ZHOUJUNJUN	0.96771
581	GGXH	0.96771
582	Team Unicorns	0.96771
583	JaneSom	0.96771
584	Fred Smith	0.96757
585	jasonjang	0.96757
586	Priya Gupta	0.96757
587	InomMirzaev	0.96757
588	Salami91280	0.96757
589	Hackers	0.96757
590	InomMirzaev 2	0.96757
591	AndreaRufini	0.96757
592	Ravi20	0.96743
593	raviteja 2	0.96743
594	xiangyangkan	0.96743
595	newCode	0.96743
596	Sonali Chawla	0.96743
597	Sivapriya Kaza	0.96729
598	Chandrasekhar	0.96729
599	disnop	0.96729
600	XinyuZhou	0.96714
601	Landry Ghislandry	0.96714
602	Erman Sefer	0.96714
603	waskita adijarto	0.96714
604	MingJie	0.96700
605	LewieL	0.96700
606	mooncake	0.96700
607	Yuichi Iwanami	0.96700
608	BjørnTheisen	0.96686
609	XinzuoWang	0.96686
610	Amirpasha	0.96686
611	Vinay K	0.96686
612	jasonfreak	0.96671
613	sol geb	0.96671
614	thomas-d	0.96671
615	Ratul Ghosh	0.96657
616	PetrŠvec	0.96657
617	DevanshGohil	0.96657
618	ann_hp	0.96657
619	Akshita	0.96657
620	AbdurRahman	0.96657
621	fzhurd	0.96657
622	SubodhMalgonde	0.96643
623	ilopezfr	0.96643
624	RikuArakawa	0.96643
625	kingofspace	0.96629
626	sysubeing	0.96629
627	boojinks	0.96629
628	PablodeAzevedo	0.96614
629	crwang	0.96614
630	Foobar	0.96614
631	illusiveman	0.96600
632	alcanta	0.96600
633	prateek6991	0.96600
634	Gregory LEGOFF	0.96600
635	douuubt	0.96600
636	longcd	0.96600
637	YangHangFeng	0.96586
638	vitaminsd	0.96586
639	Lola S Gardner	0.96586
640	Kent Johnson	0.96586
641	nplay	0.96571
642	PatrickDalton	0.96571
643	Lucie	0.96571
644	AndreaBattistello	0.96571
645	Webhunter	0.96571
646	sirius 2	0.96571
647	Larkin	0.96571
648	LauMandal	0.96557
649	gpapadop79	0.96557
650	abhay kumar	0.96557
651	Goku	0.96557
652	anhcuong	0.96557
653	Enrique Garcia Lopez	0.96557
654	Trevbrunnen	0.96557
655	Xingjian	0.96557
656	TejaYagni	0.96557
657	fengyunflya	0.96557
658	Nick Styles	0.96557
659	edrush81	0.96557
660	BananuhBeatDown	0.96557
661	Anupam 2	0.96543
662	OldBlueJack	0.96543
663	Vaishnavi	0.96543
664	arccosmos	0.96529
665	Artem Kupriyanov	0.96529
666	ashoka	0.96529
667	leonhart	0.96514
668	vova_K	0.96514
669	giim	0.96514
670	Tapan	0.96514
671	Andrey Tatarinov	0.96514
672	QINGYI	0.96514
673	KouHonda	0.96514
674	ColinLee	0.96514
675	Satya 2	0.96500
676	Sergei B.	0.96500
677	MHardin	0.96500
678	Karthik Gotham	0.96500
679	Ajit Barik	0.96500
680	BazylReinstein	0.96500
681	Tuan Nguyen	0.96500
682	tobe	0.96500
683	clinkz	0.96486
684	GregorySmith	0.96486
685	Damian Arntzen	0.96486
686	Sneha Agarwal	0.96486
687	mattlewissf	0.96486
688	Charily	0.96486
689	RajatKumar	0.96471
690	YifanXie	0.96471
691	HARISH KHOLLAM	0.96471
692	arthur lauga	0.96471
693	larry1994	0.96457
694	Sanoop	0.96457
695	Bricoleur	0.96457
696	ninglu	0.96443
697	zhengge	0.96443
698	JerryLee	0.96443
699	AtlasYu	0.96443
700	MixFlow	0.96429
701	pratikdevikar	0.96429
702	Arnab	0.96429
703	Magicyu	0.96429
704	CoMartel	0.96429
705	AndreyBozhko	0.96429
706	Marc Taboga	0.96414
707	carol002lee	0.96414
708	JP11	0.96414
709	FernandoHidalgo	0.96414
710	wushengjin	0.96400
711	Nikolay Ryabykh	0.96400
712	ustcer 2	0.96400
713	BoZheng	0.96400
714	zhanghaijian	0.96400
715	guolz	0.96400
716	gaobinlong	0.96400
717	古怪地区	0.96400
718	hugo 3	0.96400
719	shenshanmiaoke	0.96400
720	dragon 2	0.96400
721	JiaDe	0.96400
722	Long Yang	0.96400
723	zyl123	0.96400
724	Sanders Lin	0.96386
725	Deff_Jean	0.96386
726	Michael Davis	0.96386
727	Nann	0.96386
728	weilianghe	0.96371
729	TJ Gilbrough	0.96371
730	Redroy44	0.96357
731	Damian Sour	0.96357
732	cforester	0.96343
733	PraveenKrishnan	0.96343
734	LamIvan	0.96343
735	ross_geller	0.96343
736	mathdoc19	0.96343
737	Yang Yan	0.96329
738	MuhammadKhattab	0.96286
739	Vladislav Vorotilov	0.96286
740	VaibhavChauhan	0.96286
741	Mikasa	0.96271
742	GyuriIm	0.96271
743	Elias	0.96271
744	Christopher Whidden	0.96271
745	Fdemir	0.96214
746	merghaney mohammed	0.96200
747	lucasn	0.96200
748	zhanghk	0.96186
749	Frezki	0.96186
750	Tim Hsu	0.96171
751	izktmys	0.96171
752	TheKannanator	0.96157
753	Ilya Siganov	0.96143
754	seirge	0.96143
755	TeensJ	0.96143
756	Akshay Gupta	0.96114
757	Peter Pinto	0.96114
758	NiteshVijay	0.96114
759	LeLinhNguyen	0.96114
760	prAkramika	0.96100
761	happycat	0.96086
762	IssaTingzon	0.96086
763	Amrith	0.96071
764	fly_er	0.96071
765	Andrey 3	0.96043
766	DebabrataPati	0.96014
767	nippleshredder	0.95986
768	valkyrija	0.95986
769	zhengaohong	0.95971
770	Aurelien	0.95971
771	Alexandr Igumnov	0.95971
772	Bhargav	0.95929
773	zzzhu	0.95914
774	Jiteshshah	0.95900
775	Scott Marcus	0.95886
776	Zhu XueLin	0.95886
777	Compound	0.95886
778	Tethysis	0.95871
779	UdaysaiKollipara	0.95829
780	Alexandra Teste	0.95814
781	Hotei	0.95800
782	Nobuyuki Kawagashira	0.95800
783	ShahilAhamed	0.95771
784	Jeff 2	0.95743
785	広瀬将行	0.95743
786	Mark Diamond	0.95743
787	Tanner Dye	0.95729
788	VaibhavOjha	0.95700
789	Swaty	0.95686
790	Francesco Laurita	0.95671
791	Mohana Sai	0.95671
792	Shubham Bhargav	0.95657
793	BibhashChandraMItra	0.95629
794	Jon Marlow	0.95614
795	Liuzhou Zhuo	0.95586
796	wty0617	0.95571
797	Yuliya	0.95529
798	YiXie	0.95529
799	Илья Белкин	0.95529
800	Shamtactics	0.95514
801	cvliaw	0.95500
802	tianws	0.95486
803	Yu-Hsuan Wang	0.95457
804	Thatchaphon Kaeosuriya	0.95457
805	Daniel Blackburn	0.95443
806	pdabraham	0.95443
807	Youssef Erahim	0.95414
808	tuckerdarby	0.95414
809	KarlSigfrid	0.95400
810	opticalcloaking	0.95386
811	Himanshu Gupta	0.95357
812	IceFire	0.95343
813	wg1222	0.95343
814	TaiBridge	0.95343
815	Louie Tsai	0.95329
816	James Dale	0.95271
817	Satya	0.95271
818	Mathemilda	0.95243
819	WilliamDong	0.95243
820	ashishkarel	0.95229
821	AndrewMa	0.95171
822	Canniclac	0.95157
823	LinkanRay	0.95129
824	Fredeivy	0.95086
825	junyu	0.95071
826	naswang	0.95071
827	Pedro Marcelino	0.95029
828	shaurya	0.95014
829	iceberg	0.95000
830	cshaoping	0.95000
831	bin liu	0.94986
832	BrunoDeNadaiSarnaglia	0.94986
833	Alvaro João	0.94971
834	ShrinivaassNakkaa	0.94957
835	Meihuaa	0.94943
836	pk2data	0.94914
837	Human Analog	0.94857
838	Display Name 2	0.94814
839	Alexander Serrano	0.94771
840	Ngiong	0.94729
841	malongkun	0.94714
842	Karma Tarap	0.94714
843	Igor Prusov	0.94686
844	Abhishek Sharma 2	0.94557
845	BuGoNee	0.94543
846	AnthonyOrlando	0.94529
847	yzheng68	0.94529
848	CyrilSebastian	0.94529
849	liveleker	0.94514
850	Manish Barnwal	0.94514
851	Carlos Ronchi	0.94500
852	BenedekFábián	0.94471
853	tecperson	0.94471
854	Petepariyakorn	0.94471
855	katiter	0.94443
856	UTKARSHBAJPAI	0.94443
857	KevinChiao	0.94414
858	dkar111	0.94400
859	VictorMiguelChuraQuispe	0.94343
860	hoingk	0.94300
861	RetoWyss	0.94300
862	OpalThongpetch	0.94286
863	SkyWa1ker	0.94271
864	renze	0.94271
865	DavidBaerg	0.94271
866	jimmyjin	0.94271
867	Ben Awad	0.94257
868	Ganesh Shankar	0.94257
869	SaikatDutta	0.94243
870	sunny shah	0.94229
871	ShashwatVerma	0.94229
872	Maidenhead4	0.94229
873	BellumShaw	0.94200
874	hylosy	0.94200
875	Mizzy	0.94186
876	samli6479	0.94171
877	MaximeFuccellaro	0.94143
878	Diorge Brognara	0.94129
879	Tran Son Hai	0.94100
880	Chung Ning	0.94086
881	SushovanChakraborty	0.94057
882	ABA!	0.94057
883	NaotoShibata	0.94043
884	Jianfeng WEN	0.94043
885	rodge	0.94043
886	RohitGambo	0.94014
887	RaymonMina	0.94000
888	はまばん	0.93900
889	Shuo Feng	0.93900
890	sappyprg	0.93900
891	mimilucky123	0.93900
892	ФилиппБочаров	0.93900
893	trgosselin14	0.93871
894	osuarez	0.93871
895	BhagyeshVikani	0.93857
896	nbaker	0.93814
897	CongDao	0.93814
898	waterbear	0.93657
899	yangminghan	0.93629
900	redmaster	0.93629
901	ejansa	0.93614
902	Daniel Huckins	0.93600
903	CaiziLee	0.93586
904	_LT_zyc	0.93571
905	Ryan Schrader	0.93514
906	frankabc	0.93514
907	kangaeyo	0.93514
908	AMIT GOSWAMI	0.93514
909	potpath	0.93514
910	chan	0.93514
911	GiriBhushan	0.93514
912	zhang 3	0.93514
913	R G V	0.93514
914	LengrabGrabowskii	0.93514
915	Guoliang Wang	0.93514
916	Bartold	0.93514
917	AnveshMuttavarapu	0.93514
918	cielan	0.93514
919	ShihaoZhang	0.93514
920	Greg 2	0.93457
921	Jan-Philipp Kolb	0.93429
922	Deepin	0.93429
923	Anna Vodopyanova	0.93343
924	h4pZ	0.93286
925	ArunKumar	0.93271
926	hlhuang	0.93229
927	GregMurkett	0.93229
928	Mr Cool	0.93200
929	Raul Sena Ferreira	0.93186
930	Sunrisetofu	0.93143
931	Howard Chen	0.93100
932	HuzaifaFaruqui	0.93071
933	Nilo	0.93043
934	ikseon	0.92986
935	MichaelAnderson	0.92786
936	mathew paul	0.92743
937	Matthieu Toulemont	0.92257
938	John.Ken	0.92257
939	Dylanmr	0.92129
940	YiQi	0.92114
941	option12	0.92086
942	Rafael Fantini da Costa	0.92000
943	DarrinThomas	0.91857
944	Shura_nyan	0.91757
945	wenwen	0.91614
946	kireeti 2	0.91614
947	ChrisYao	0.91314
948	Alexandre Duhamel	0.91157
949	stevemc7	0.91129
950	LinGao	0.91100
951	wolala	0.91043
952	Wdyer	0.91029
953	DosapatiKarthik	0.91000
954	SvetlanaBesaeva	0.90986
955	SrinivasaMurthyDamarla	0.90929
956	florian 2	0.90900
957	njllcc	0.90871
958	AnaelBerrouet	0.90871
959	utobe67	0.90857
960	JoeKing	0.90743
961	shyamprasadreddy	0.90729
962	wangzs	0.90629
963	AnthonyChiu	0.90414
964	Turpin	0.90329
965	Hanah	0.90114
966	Vincent QB	0.90086
967	PatrikTrelsmo	0.89957
968	ShravanKumar	0.89943
969	michaelhoffmann	0.89843
970	Kevin4868	0.89700
971	AleksandrDruzhinin	0.89600
972	Raj Kumar	0.89529
973	CameronNguyen	0.89329
974	LatschesarAtanassov	0.89329
